"ens_gene"	"most_sig_transcript"	"pval"	"qval"	"num_transcripts"	"list_of_transcripts"
"1"	"ENSG00000000003"	"ENST00000373020"	1.09889811141502e-62	1.43997809811918e-60	5	"ENST00000373020, ENST00000612152, ENST00000496771, ENST00000494424, ENST00000614008"
"2"	"ENSG00000000419"	"ENST00000371582"	0.285636131922013	0.710429750250304	6	"ENST00000371582, ENST00000371588, ENST00000466152, ENST00000371584, ENST00000413082, ENST00000494752"
"3"	"ENSG00000000457"	"ENST00000367771"	0.0793650934792856	0.329285766418712	5	"ENST00000367771, ENST00000367772, ENST00000367770, ENST00000423670, ENST00000470238"
"4"	"ENSG00000000460"	"ENST00000413811"	0.04017054157858	0.197790259698311	9	"ENST00000413811, ENST00000496973, ENST00000359326, ENST00000498289, ENST00000459772, ENST00000286031, ENST00000466580, ENST00000472795, ENST00000481744"
"5"	"ENSG00000000971"	"ENST00000466229"	0.270280724394846	0.692875648327738	6	"ENST00000466229, ENST00000367429, ENST00000630130, ENST00000359637, ENST00000470918, ENST00000496761"
"6"	"ENSG00000001036"	"ENST00000002165"	0.111308407213747	0.415320270051648	3	"ENST00000002165, ENST00000367585, ENST00000451668"
"7"	"ENSG00000001084"	"ENST00000229416"	1.28610027712695e-75	2.17474038940187e-73	13	"ENST00000229416, ENST00000514004, ENST00000509541, ENST00000504353, ENST00000514933, ENST00000513939, ENST00000504525, ENST00000505197, ENST00000505294, ENST00000510837, ENST00000514373, ENST00000515580, ENST00000616923"
"8"	"ENSG00000001167"	"ENST00000341376"	0.435141226409964	0.836507336771221	2	"ENST00000341376, ENST00000353205"
"9"	"ENSG00000001460"	"ENST00000337248"	0.0137935764368525	0.0834882081888454	12	"ENST00000337248, ENST00000468303, ENST00000497384, ENST00000003583, ENST00000374409, ENST00000435187, ENST00000438866, ENST00000475760, ENST00000483261, ENST00000483528, ENST00000492753, ENST00000498488"
"10"	"ENSG00000001461"	"ENST00000003912"	7.24593976542812e-06	8.51107221048774e-05	7	"ENST00000003912, ENST00000374399, ENST00000339255, ENST00000358028, ENST00000432012, ENST00000475663, ENST00000488155"
"11"	"ENSG00000001497"	"ENST00000374811"	0.241405968571188	0.655395182316487	5	"ENST00000374811, ENST00000374807, ENST00000469091, ENST00000484069, ENST00000374804"
"12"	"ENSG00000001561"	"ENST00000321037"	0.420848917552223	0.828916893080602	1	"ENST00000321037"
"13"	"ENSG00000001617"	"ENST00000413852"	6.54553909908311e-22	2.35676206100226e-20	9	"ENST00000413852, ENST00000002829, ENST00000450338, ENST00000414301, ENST00000420831, ENST00000426511, ENST00000434342, ENST00000470737, ENST00000493743"
"14"	"ENSG00000001626"	"ENST00000003084"	0.278678492174155	0.70229556957528	11	"ENST00000003084, ENST00000426809, ENST00000429014, ENST00000446805, ENST00000468795, ENST00000472848, ENST00000546407, ENST00000600166, ENST00000608965, ENST00000610149, ENST00000621535"
"15"	"ENSG00000001629"	"ENST00000265742"	0.505816659736272	0.872644335335622	7	"ENST00000265742, ENST00000422095, ENST00000413588, ENST00000439883, ENST00000442183, ENST00000465883, ENST00000486698"
"16"	"ENSG00000001630"	"ENST00000003100"	0.0420310520759262	0.204624341028926	5	"ENST00000003100, ENST00000450723, ENST00000422867, ENST00000435873, ENST00000482924"
"17"	"ENSG00000001631"	"ENST00000394507"	0.293077273601024	0.719481543146543	25	"ENST00000394507, ENST00000340022, ENST00000475770, ENST00000394505, ENST00000412043, ENST00000444960, ENST00000486261, ENST00000433016, ENST00000394503, ENST00000413688, ENST00000422347, ENST00000425073, ENST00000425919, ENST00000430102, ENST00000440209, ENST00000445516, ENST00000452773, ENST00000454017, ENST00000458177, ENST00000458493, ENST00000466166, ENST00000470309, ENST00000487168, ENST00000489087, ENST00000611677"
"18"	"ENSG00000002016"	"ENST00000430095"	0.449618729943626	0.844917118921387	20	"ENST00000430095, ENST00000358495, ENST00000228345, ENST00000397230, ENST00000461568, ENST00000463750, ENST00000468231, ENST00000481052, ENST00000488642, ENST00000535376, ENST00000536177, ENST00000539046, ENST00000541619, ENST00000542297, ENST00000542584, ENST00000542785, ENST00000543912, ENST00000544742, ENST00000545564, ENST00000545967"
"19"	"ENSG00000002079"	"ENST00000439784"	0.4452685299307	0.842315892571004	7	"ENST00000439784, ENST00000413734, ENST00000425880, ENST00000429079, ENST00000452010, ENST00000453194, ENST00000453378"
"20"	"ENSG00000002330"	"ENST00000309032"	0.00321005176171949	0.0238298821321587	7	"ENST00000309032, ENST00000394531, ENST00000394532, ENST00000544271, ENST00000492141, ENST00000493798, ENST00000544785"
"21"	"ENSG00000002549"	"ENST00000606142"	0.023444936946724	0.129282602955752	11	"ENST00000606142, ENST00000618908, ENST00000503467, ENST00000226299, ENST00000504614, ENST00000507960, ENST00000508014, ENST00000508497, ENST00000509583, ENST00000512397, ENST00000513105"
"22"	"ENSG00000002586"	"ENST00000449611"	0.294517773093591	0.721108316076804	12	"ENST00000449611, ENST00000623253, ENST00000482293, ENST00000381192, ENST00000624481, ENST00000381184, ENST00000482405, ENST00000381187, ENST00000381177, ENST00000381180, ENST00000497752, ENST00000611428"
"23"	"ENSG00000002745"	"ENST00000222462"	1.01193295545209e-68	1.46049005367728e-66	2	"ENST00000222462, ENST00000361301"
"24"	"ENSG00000002746"	"ENST00000395891"	0.385563352990327	0.807410113000813	11	"ENST00000395891, ENST00000453890, ENST00000429529, ENST00000461842, ENST00000464944, ENST00000471043, ENST00000471527, ENST00000481031, ENST00000490954, ENST00000492310, ENST00000493057"
