"ens_gene"	"most_sig_transcript"	"pval"	"qval"	"num_transcripts"	"list_of_transcripts"
"1"	"ENSG00000000003"	"ENST00000373020"	2.89961101027316e-55	3.06372301487521e-53	5	"ENST00000373020, ENST00000612152, ENST00000496771, ENST00000494424, ENST00000614008"
"2"	"ENSG00000000419"	"ENST00000371582"	0.338528857043431	0.766856644086527	6	"ENST00000371582, ENST00000371588, ENST00000466152, ENST00000371584, ENST00000413082, ENST00000494752"
"3"	"ENSG00000000457"	"ENST00000367771"	0.0762418602466436	0.32046152032428	5	"ENST00000367771, ENST00000367772, ENST00000367770, ENST00000423670, ENST00000470238"
"4"	"ENSG00000000460"	"ENST00000413811"	0.0401606674847182	0.19762179808473	9	"ENST00000413811, ENST00000496973, ENST00000359326, ENST00000498289, ENST00000459772, ENST00000286031, ENST00000466580, ENST00000472795, ENST00000481744"
"5"	"ENSG00000000971"	"ENST00000466229"	0.262370222597035	0.684548388714993	6	"ENST00000466229, ENST00000367429, ENST00000630130, ENST00000359637, ENST00000470918, ENST00000496761"
"6"	"ENSG00000001036"	"ENST00000002165"	0.111569658322377	0.416628079919129	3	"ENST00000002165, ENST00000367585, ENST00000451668"
"7"	"ENSG00000001084"	"ENST00000229416"	9.51825988395202e-78	1.68194216466593e-75	13	"ENST00000229416, ENST00000514004, ENST00000509541, ENST00000504353, ENST00000514933, ENST00000513939, ENST00000504525, ENST00000505197, ENST00000505294, ENST00000510837, ENST00000514373, ENST00000515580, ENST00000616923"
"8"	"ENSG00000001167"	"ENST00000341376"	0.436126200620541	0.838150652570772	2	"ENST00000341376, ENST00000353205"
"9"	"ENSG00000001460"	"ENST00000337248"	0.0127067521556701	0.0781728943135494	12	"ENST00000337248, ENST00000468303, ENST00000497384, ENST00000003583, ENST00000374409, ENST00000435187, ENST00000438866, ENST00000475760, ENST00000483261, ENST00000483528, ENST00000492753, ENST00000498488"
"10"	"ENSG00000001461"	"ENST00000003912"	6.88813676280342e-06	8.14449857890774e-05	7	"ENST00000003912, ENST00000374399, ENST00000339255, ENST00000358028, ENST00000432012, ENST00000475663, ENST00000488155"
"11"	"ENSG00000001497"	"ENST00000374811"	0.231655911580644	0.642450870708415	5	"ENST00000374811, ENST00000374807, ENST00000469091, ENST00000484069, ENST00000374804"
