"ens_gene"	"most_sig_transcript"	"pval"	"qval"	"num_transcripts"	"list_of_transcripts"
"1"	"ENSG00000000003"	"ENST00000373020"	1.00493246097082e-62	1.32045548621666e-60	5	"ENST00000373020, ENST00000612152, ENST00000496771, ENST00000494424, ENST00000614008"
"2"	"ENSG00000000419"	"ENST00000371582"	0.286388929975967	0.711908839030726	6	"ENST00000371582, ENST00000371588, ENST00000466152, ENST00000371584, ENST00000413082, ENST00000494752"
"3"	"ENSG00000000457"	"ENST00000367771"	0.0800814946652781	0.331136625040118	5	"ENST00000367771, ENST00000367772, ENST00000367770, ENST00000423670, ENST00000470238"
"4"	"ENSG00000000460"	"ENST00000413811"	0.0401606674847182	0.197887827428306	9	"ENST00000413811, ENST00000496973, ENST00000359326, ENST00000498289, ENST00000459772, ENST00000286031, ENST00000466580, ENST00000472795, ENST00000481744"
"5"	"ENSG00000000971"	"ENST00000466229"	0.270319132278881	0.693222451984737	6	"ENST00000466229, ENST00000367429, ENST00000630130, ENST00000359637, ENST00000470918, ENST00000496761"
"6"	"ENSG00000001036"	"ENST00000002165"	0.111569658322377	0.416142888181833	3	"ENST00000002165, ENST00000367585, ENST00000451668"
"7"	"ENSG00000001084"	"ENST00000229416"	1.18397105938971e-75	1.99580910981663e-73	13	"ENST00000229416, ENST00000514004, ENST00000509541, ENST00000504353, ENST00000514933, ENST00000513939, ENST00000504525, ENST00000505197, ENST00000505294, ENST00000510837, ENST00000514373, ENST00000515580, ENST00000616923"
"8"	"ENSG00000001167"	"ENST00000341376"	0.436126200620541	0.836989257388946	2	"ENST00000341376, ENST00000353205"
"9"	"ENSG00000001460"	"ENST00000337248"	0.0138366557023225	0.0837142174103324	12	"ENST00000337248, ENST00000468303, ENST00000497384, ENST00000003583, ENST00000374409, ENST00000435187, ENST00000438866, ENST00000475760, ENST00000483261, ENST00000483528, ENST00000492753, ENST00000498488"
"10"	"ENSG00000001461"	"ENST00000003912"	6.88813676280342e-06	8.09778775888648e-05	7	"ENST00000003912, ENST00000374399, ENST00000339255, ENST00000358028, ENST00000432012, ENST00000475663, ENST00000488155"
"11"	"ENSG00000001497"	"ENST00000374811"	0.24152472663743	0.655870627764036	5	"ENST00000374811, ENST00000374807, ENST00000469091, ENST00000484069, ENST00000374804"
"12"	"ENSG00000001561"	"ENST00000321037"	0.42114069554067	0.829240061210814	1	"ENST00000321037"
"13"	"ENSG00000001617"	"ENST00000413852"	6.5201748741087e-22	2.34433676875645e-20	9	"ENST00000413852, ENST00000002829, ENST00000450338, ENST00000414301, ENST00000420831, ENST00000426511, ENST00000434342, ENST00000470737, ENST00000493743"
"14"	"ENSG00000001626"	"ENST00000003084"	0.278616870938092	0.702632316143287	11	"ENST00000003084, ENST00000426809, ENST00000429014, ENST00000446805, ENST00000468795, ENST00000472848, ENST00000546407, ENST00000600166, ENST00000608965, ENST00000610149, ENST00000621535"
"15"	"ENSG00000001629"	"ENST00000265742"	0.505468836954788	0.872700845264942	7	"ENST00000265742, ENST00000422095, ENST00000413588, ENST00000439883, ENST00000442183, ENST00000465883, ENST00000486698"
"16"	"ENSG00000001630"	"ENST00000003100"	0.0420187386247789	0.204623231096341	5	"ENST00000003100, ENST00000450723, ENST00000422867, ENST00000435873, ENST00000482924"
"17"	"ENSG00000001631"	"ENST00000394507"	0.293105413778766	0.719943772664182	25	"ENST00000394507, ENST00000340022, ENST00000475770, ENST00000394505, ENST00000412043, ENST00000444960, ENST00000486261, ENST00000433016, ENST00000394503, ENST00000413688, ENST00000422347, ENST00000425073, ENST00000425919, ENST00000430102, ENST00000440209, ENST00000445516, ENST00000452773, ENST00000454017, ENST00000458177, ENST00000458493, ENST00000466166, ENST00000470309, ENST00000487168, ENST00000489087, ENST00000611677"
"18"	"ENSG00000002016"	"ENST00000430095"	0.449992314685749	0.84555060743881	20	"ENST00000430095, ENST00000358495, ENST00000228345, ENST00000397230, ENST00000461568, ENST00000463750, ENST00000468231, ENST00000481052, ENST00000488642, ENST00000535376, ENST00000536177, ENST00000539046, ENST00000541619, ENST00000542297, ENST00000542584, ENST00000542785, ENST00000543912, ENST00000544742, ENST00000545564, ENST00000545967"
"19"	"ENSG00000002079"	"ENST00000439784"	0.445238059409691	0.842638150720663	7	"ENST00000439784, ENST00000413734, ENST00000425880, ENST00000429079, ENST00000452010, ENST00000453194, ENST00000453378"
"20"	"ENSG00000002330"	"ENST00000309032"	0.00321403872445993	0.0238562303642742	7	"ENST00000309032, ENST00000394531, ENST00000394532, ENST00000544271, ENST00000492141, ENST00000493798, ENST00000544785"
"21"	"ENSG00000002549"	"ENST00000606142"	0.0234015498532247	0.129100271528528	11	"ENST00000606142, ENST00000618908, ENST00000503467, ENST00000226299, ENST00000504614, ENST00000507960, ENST00000508014, ENST00000508497, ENST00000509583, ENST00000512397, ENST00000513105"
"22"	"ENSG00000002586"	"ENST00000449611"	0.294744114048739	0.721639666164296	12	"ENST00000449611, ENST00000623253, ENST00000482293, ENST00000381192, ENST00000624481, ENST00000381184, ENST00000482405, ENST00000381187, ENST00000381177, ENST00000381180, ENST00000497752, ENST00000611428"
"23"	"ENSG00000002745"	"ENST00000222462"	1.06922847637921e-68	1.53480709445526e-66	2	"ENST00000222462, ENST00000361301"
"24"	"ENSG00000002746"	"ENST00000395891"	0.385494551053849	0.807767058181892	11	"ENST00000395891, ENST00000453890, ENST00000429529, ENST00000461842, ENST00000464944, ENST00000471043, ENST00000471527, ENST00000481031, ENST00000490954, ENST00000492310, ENST00000493057"
"25"	"ENSG00000002822"	"ENST00000406869"	0.251618209706551	0.669583795835915	23	"ENST00000406869, ENST00000429625, ENST00000399654, ENST00000265854, ENST00000402746, ENST00000421113, ENST00000429779, ENST00000437877, ENST00000438959, ENST00000444373, ENST00000445959, ENST00000450235, ENST00000455998, ENST00000459731, ENST00000464742, ENST00000468372, ENST00000469871, ENST00000477172, ENST00000481633, ENST00000483165, ENST00000486340, ENST00000491858, ENST00000496548"
"26"	"ENSG00000002834"	"ENST00000318008"	9.6083406442693e-51	9.03448470303817e-49	9	"ENST00000318008, ENST00000435347, ENST00000584106, ENST00000585841, ENST00000579123, ENST00000443937, ENST00000419929, ENST00000433206, ENST00000581485"
"27"	"ENSG00000002919"	"ENST00000359238"	0.0199633221780743	0.113366627328836	13	"ENST00000359238, ENST00000582104, ENST00000393405, ENST00000452859, ENST00000577310, ENST00000578861, ENST00000580219, ENST00000580875, ENST00000581298, ENST00000581705, ENST00000582481, ENST00000583320, ENST00000584335"
"28"	"ENSG00000003056"	"ENST00000000412"	1.58186981858704e-05	0.000177497085293394	13	"ENST00000000412, ENST00000541507, ENST00000543704, ENST00000537621, ENST00000544245, ENST00000536844, ENST00000539143, ENST00000540837, ENST00000543159, ENST00000543258, ENST00000543834, ENST00000543845, ENST00000544193"
"29"	"ENSG00000003096"	"ENST00000469946"	0.00348559523131614	0.0256353188163923	11	"ENST00000469946, ENST00000371882, ENST00000540167, ENST00000262820, ENST00000371876, ENST00000371878, ENST00000447671, ENST00000453826, ENST00000539496, ENST00000541812, ENST00000545703"
"30"	"ENSG00000003147"	"ENST00000455539"	0.426476167936322	0.832467574216158	18	"ENST00000455539, ENST00000265577, ENST00000317367, ENST00000339809, ENST00000396675, ENST00000401396, ENST00000402384, ENST00000406470, ENST00000407906, ENST00000422063, ENST00000430867, ENST00000446305, ENST00000447326, ENST00000457755, ENST00000470696, ENST00000476942, ENST00000486677, ENST00000490041"
"31"	"ENSG00000003249"	"ENST00000002501"	5.34879197820281e-15	1.32928634783222e-13	7	"ENST00000002501, ENST00000568838, ENST00000623401, ENST00000304733, ENST00000392973, ENST00000568330, ENST00000568662"
"32"	"ENSG00000003393"	"ENST00000264276"	0.00190882627731274	0.0149477082183514	12	"ENST00000264276, ENST00000439495, ENST00000496244, ENST00000467448, ENST00000482789, ENST00000409632, ENST00000410052, ENST00000462747, ENST00000482891, ENST00000483703, ENST00000489440, ENST00000494017"
"33"	"ENSG00000003402"	"ENST00000309955"	7.66113472639494e-15	1.89111198966334e-13	25	"ENST00000309955, ENST00000395148, ENST00000443227, ENST00000440180, ENST00000341582, ENST00000423241, ENST00000433445, ENST00000490965, ENST00000457277, ENST00000441224, ENST00000474842, ENST00000342795, ENST00000341222, ENST00000340870, ENST00000417748, ENST00000425030, ENST00000439154, ENST00000460961, ENST00000461422, ENST00000461820, ENST00000462763, ENST00000470178, ENST00000470664, ENST00000479953, ENST00000494258"
"34"	"ENSG00000003436"	"ENST00000426055"	5.25909120635282e-45	4.25753758087757e-43	13	"ENST00000426055, ENST00000233156, ENST00000453013, ENST00000481132, ENST00000409676, ENST00000392365, ENST00000417013, ENST00000420747, ENST00000437725, ENST00000339091, ENST00000421427, ENST00000435414, ENST00000481389"
"35"	"ENSG00000003509"	"ENST00000002125"	0.129636684796017	0.459262489621286	13	"ENST00000002125, ENST00000474257, ENST00000439218, ENST00000474154, ENST00000336237, ENST00000416653, ENST00000419278, ENST00000431821, ENST00000432075, ENST00000441905, ENST00000455230, ENST00000469831, ENST00000483999"
"36"	"ENSG00000003756"	"ENST00000347869"	0.00677404124639632	0.0456817665050111	26	"ENST00000347869, ENST00000469838, ENST00000496179, ENST00000417905, ENST00000464988, ENST00000464087, ENST00000395174, ENST00000475128, ENST00000475590, ENST00000489437, ENST00000471995, ENST00000404526, ENST00000433556, ENST00000437500, ENST00000438369, ENST00000441305, ENST00000441812, ENST00000461242, ENST00000462025, ENST00000474470, ENST00000474818, ENST00000479275, ENST00000492430, ENST00000492472, ENST00000493993, ENST00000494360"
"37"	"ENSG00000003987"	"ENST00000180173"	0.548670323087254	0.891175701121957	9	"ENST00000180173, ENST00000517317, ENST00000518272, ENST00000519122, ENST00000519590, ENST00000519763, ENST00000521177, ENST00000521857, ENST00000523571"
"38"	"ENSG00000003989"	"ENST00000494857"	0.061677923896026	0.273842073302015	5	"ENST00000494857, ENST00000398090, ENST00000522656, ENST00000004531, ENST00000470360"
"39"	"ENSG00000004059"	"ENST00000000233"	1.59123565625909e-10	2.93003489777208e-09	6	"ENST00000000233, ENST00000489673, ENST00000463733, ENST00000415666, ENST00000459680, ENST00000467281"
"40"	"ENSG00000004139"	"ENST00000585482"	1.55529939003858e-08	2.43065926326707e-07	8	"ENST00000585482, ENST00000585453, ENST00000379061, ENST00000577870, ENST00000578128, ENST00000579593, ENST00000580711, ENST00000582323"
"41"	"ENSG00000004142"	"ENST00000540200"	4.48393634750237e-27	2.03344529316601e-25	2	"ENST00000540200, ENST00000618887"
"42"	"ENSG00000004399"	"ENST00000504524"	0.251320516477584	0.669139079695215	17	"ENST00000504524, ENST00000512744, ENST00000501038, ENST00000324093, ENST00000514990, ENST00000505237, ENST00000511018, ENST00000508630, ENST00000506979, ENST00000503166, ENST00000504689, ENST00000504767, ENST00000504979, ENST00000505505, ENST00000505665, ENST00000512807, ENST00000515191"
"43"	"ENSG00000004455"	"ENST00000373449"	2.35941495964426e-21	8.21945748517812e-20	15	"ENST00000373449, ENST00000354858, ENST00000482191, ENST00000548033, ENST00000491241, ENST00000467905, ENST00000480134, ENST00000550338, ENST00000466029, ENST00000469238, ENST00000487289, ENST00000548559, ENST00000551979, ENST00000626911, ENST00000629371"
"44"	"ENSG00000004478"	"ENST00000001008"	9.9492620968383e-35	5.90787875031841e-33	8	"ENST00000001008, ENST00000543037, ENST00000538622, ENST00000540260, ENST00000539181, ENST00000543769, ENST00000544366, ENST00000630279"
"45"	"ENSG00000004487"	"ENST00000356634"	6.71977995147601e-11	1.27162157907455e-09	6	"ENST00000356634, ENST00000400181, ENST00000602503, ENST00000494920, ENST00000465864, ENST00000481879"
